"site" "tree" "height" "id" "sp" "sample" "code_habit1" "Ramicaule" "Pseudobulb" "Monopodial" "LeafyStem" "empty" "habit1"
"64" "LH" "F03" "E4" "74" "Stelis spathulata" "F03_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"65" "LH" "F03" "E4" "75" "Stelis spathulata" "F03_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"66" "LH" "F03" "E4" "76" "Cryptocentrum latifolium" "F03_E4" "3" "0" "0" "1" "0" "0" "Monopodial"
"67" "LH" "F03" "E4" "77" "Oncidium pictum" "F03_E4" "4" "0" "1" "0" "0" "0" "Pseudobulb"
"68" "LH" "F03" "E4" "78" "Stelis spathulata" "F03_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"69" "LH" "F03" "E4" "79" "Lepanthes sp.2" "F03_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"70" "LH" "F03" "E4" "81" "Lepanthes sp.2" "F03_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"71" "LH" "F03" "E4" "82" "Lepanthes sp.2" "F03_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"72" "LH" "F03" "E4" "83" "Campylocentrum micranthum" "F03_E4" "2" "0" "0" "0" "1" "0" "Leafy stem"
"73" "LH" "F03" "E4" "84" "Campylocentrum micranthum" "F03_E4" "2" "0" "0" "0" "1" "0" "Leafy stem"
"74" "LH" "F03" "E4" "85" "Campylocentrum micranthum" "F03_E4" "2" "0" "0" "0" "1" "0" "Leafy stem"
"75" "LH" "F04" "E4" "86" "Stelis spathulata" "F04_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"76" "LH" "F04" "E4" "87" "Stelis spathulata" "F04_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"77" "LH" "F04" "E4" "88" "Stelis spathulata" "F04_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"78" "LH" "F04" "E4" "89" "Restrepia antennifera" "F04_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"79" "LH" "F04" "E4" "90" "Restrepia antennifera" "F04_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"80" "LH" "F04" "E4" "91" "Restrepia antennifera" "F04_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"81" "LH" "F04" "E3" "92" "Lepanthes sp.2" "F04_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"82" "LH" "F04" "E3" "93" "Lepanthes sp.2" "F04_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"83" "LH" "F04" "E3" "94" "Lepanthes sp" "F04_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"84" "LH" "F04" "E3" "95" "Lepanthes sp.2" "F04_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"85" "LH" "F04" "E3" "96" "Restrepia antennifera" "F04_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"86" "LH" "F04" "E3" "97" "Restrepia antennifera" "F04_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"87" "LH" "F04" "E3" "98" "Cryptocentrum latifolium" "F04_E3" "3" "0" "0" "1" "0" "0" "Monopodial"
"88" "LH" "F04" "E3" "99" "Cryptocentrum latifolium" "F04_E3" "3" "0" "0" "1" "0" "0" "Monopodial"
"89" "LH" "F04" "E3" "100" "Cryptocentrum latifolium" "F04_E3" "3" "0" "0" "1" "0" "0" "Monopodial"
"90" "LH" "F04" "E3" "101" "Restrepia antennifera" "F04_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"91" "LH" "F04" "E2" "102" "Restrepia antennifera" "F04_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"92" "LH" "F04" "E2" "104" "Campylocentrum micranthum" "F04_E2" "2" "0" "0" "0" "1" "0" "Leafy stem"
"93" "LH" "F04" "E2" "105" "Restrepia antennifera" "F04_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"94" "LH" "F04" "E2" "106" "Campylocentrum micranthum" "F04_E2" "2" "0" "0" "0" "1" "0" "Leafy stem"
"95" "LH" "F04" "E2" "107" "Platystele consobrina" "F04_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"96" "LH" "F04" "E2" "108" "Platystele consobrina" "F04_E2" "5" "1" "0" "0" "0" "0" "Ramicaule"
"97" "LH" "F05" "E1" "216" "Cryptocentrum latifolium" "F05_E1" "3" "0" "0" "1" "0" "0" "Monopodial"
