"spp" "fertile" "flowers" "fruits" "nleaves" "NFU" "hmax" "Chl_a" "Chl_b" "ratio_ab" "Chl_total" "LT" "LA" "LDM" "LFM" "SLA" "LS" "succulence" "LWC"
"Myoxanthus affinis" "Myoxanthus affinis" 0 0 0 5 9 18 0.271 0 0 0.252 0.996666667 7.543 0.083 0.67 90.87951807 0.077820496 0.667766667 0.587
"Oncidium adelaide" "Oncidium adelaide" 0 0 0 2.66666666666667 6.16666666666667 14.3833333333333 1.19916666666667 0.277666666666667 3.27083333333333 1.42033333333333 0.300000000166667 13.6606666666667 0.100683333333333 0.493333333333333 169.501869991667 0.0251460841666667 0.213633333333333 0.39265
"Oncidium chrysomorphum" "Oncidium chrysomorphum" 0 0 0 12 16 34.5 1.148 0.073 15.701 1.221 0.523333333 63.54 0.7845 3.7 80.99426386 0.045884482 1.936333333 2.9155
"Oncidium pictum" "Oncidium pictum" 0.0909090909090909 0.0909090909090909 0 5.36363636363636 6.54545454545455 30.1090909090909 0.76 0.231272727272727 1.91590909090909 0.991363636363636 0.442996969545455 41.0354545454545 0.338681818181818 1.99375563636364 129.903150843636 0.0367432853636364 1.051398766 1.33049002745455
"Platystele consobrina" "Platystele consobrina" 1 0 0 0 5.5 1 0 0 0 0 0.0767 0.119 0.105 0 1.133181818 0 0 0
"Pleurothallis hystrix" "Pleurothallis hystrix" 0.0476190476190476 0 0 0.428571428571429 6.71428571428571 12.652380952381 0.407142857142857 0.118047619047619 6.0032380952381 0.520571428571429 0.803333333476191 3.83733333333333 0.0329952380952381 0.28047619047619 119.904870230952 0.0630751671428571 0.243526984190476 0.247480952380952
"Pleurothallis tripterantha" "Pleurothallis tripterantha" 0 0 0 0 14 14.3 0.158 0.014 11.591 0.171 1.983333333 5.706 0.1376 0.94 41.46802326 0.140623905 1.864333333 0.8024
"Restrepia antennifera" "Restrepia antennifera" 0.15 0.25 0.0166666666666667 0.7 6.28333333333333 8.79166666666667 0.224966666666667 0.0879666666666667 1.95063333333333 0.308816666666667 0.864147777783333 6.50455 0.05924505 0.572037863783333 121.090304453 0.0759440500666667 0.54091326475 0.5855026247
"Stelis argentata" "Stelis argentata" 0.276595744680851 1.02127659574468 0.0212765957446809 0.723404255319149 10.1276595744681 13.4553191489362 0.326617021276596 0.0974468085106383 6.87434042553191 0.421276595744681 0.930567375851064 11.3276808510638 0.0849923404255319 0.920425531914894 140.258590793192 0.0754028095744681 0.884498581531915 0.835433191489362
"Stelis popayanensis" "Stelis popayanensis" 0 0 0 0 7.33333333333333 11.55 0.21925 0.0876666666666667 2.75858333333333 0.304833333333333 1.04499999991667 4.25341666666667 0.0595583333333333 0.418333333333333 83.9443157708333 0.083463234 0.458322222166667 0.358775
