date,tree,orch_i,strat_h,orch_sp_paleo,loc,tree_id,strat_id,orch_id,orch_sp_nhoc,LA,LDM,LFM,LT,SLA,NFU,LLU,NL,fertile,habit1,habit2,habit1_txt,habit2_txt
2017,70,166,10,Stelis spathulata,RY,T13,E5,166,Stelis spathulata,1.713,0.0194,0.1,0.57,88.29896907,15,12,15,1,2,1,Ramicaule,Erect
2017,70,167,10,Stelis spathulata,RY,T13,E5,167,Stelis spathulata,2.3,0.0222,0.16,0.76,103.6036036,11,13.5,11,1,2,1,Ramicaule,Erect
2017,70,169,10,Maxilaria,RY,T13,E5,169,Maxillaria,11.828,0.1267,0.97,0.85,93.35438043,,13,,0,,,,
2017,70,171,10,Stelis spathulata,RY,T13,E5,171,Stelis spathulata,2.057,0.0256,0.16,0.703333333,80.3515625,11,11,11,0,2,1,Ramicaule,Erect
2017,70,173,10,Stelis,RY,T13,E5,173,Stelis popayanensis,1.894,0.0238,0.23,1.386666667,79.57983193,7,7,7,0,2,1,Ramicaule,Erect
2017,70,174,10,Stelis,RY,T13,E5,174,Stelis popayanensis,2.653,0.042,0.31,1.423333333,63.16666667,9,10,9,0,2,1,Ramicaule,Erect
2017,70,175,10,Stelis,RY,T13,E5,175,Stelis popayanensis,2.366,0.0208,0.16,0.75,113.75,8,9.5,8,0,2,1,Ramicaule,Erect
2017,70,177,10,Maxillaria ramosa,RY,T13,E5,177,Maxillaria ochracea,16.746,0.167,1.3,0.97,100.2754491,5,32,5,0,3,2,Pseudobulbs_Single internode,Scandent
2017,70,178,10,Stelis vulcanica,RY,T13,E5,178,Stelis vulcanica,22.139,0.2793,3.39,1.78,79.2660222,12,18.5,4,0,2,1,Ramicaule,Erect
2017,70,180,10,Stelis sp2,RY,T13,E5,180,Stelis sp2,6.681,0.1335,0.9,1.79,50.04494382,10,18.5,10,0,2,1,Ramicaule,Erect
2017,70,181,8,epidendrum porpax,RY,T13,E4,181,Epidendrum porpax,0.931,0.0106,0.14,1.69,87.83018868,1,9,1,0,4,2,Leafy stem,Scandent
2017,70,182,3.5,Myoxanthus,RY,T13,E2,182,Myoxanthus affinis,7.543,0.083,0.67,0.996666667,90.87951807,9,18,5,0,2,1,Ramicaule,Erect
2017,70,183,3.5,Stelis spathulata,RY,T13,E2,183,Stelis spathulata,2.608,0.0188,0.18,0.8,138.7234043,10,8,10,1,2,1,Ramicaule,Erect
2017,70,184,3.5,Stelis spathulata,RY,T13,E2,184,Stelis spathulata,1.252,0.0074,0.06,0.563333333,169.1891892,8,6,8,0,2,1,Ramicaule,Erect
2017,70,185,3.5,Stelis spathulata,RY,T13,E2,185,Stelis spathulata,2.383,0.0171,0.11,0.483333333,139.3567251,8,8,8,0,2,1,Ramicaule,Erect
2017,70,186,3.5,Stelis spathulata,RY,T13,E2,186,Stelis spathulata,1.177,0.0093,0.07,0.723333333,126.5591398,8,6.5,8,0,2,1,Ramicaule,Erect
2017,70,187,3.5,Stelis argentata,RY,T13,E2,187,Stelis argentata,14.542,0.03804,1.19,0.946666667,382.2818086,20,16.5,10,1,2,1,Ramicaule,Erect
2017,70,188,3.5,Stelis argentata,RY,T13,E2,188,Stelis argentata,11.303,0.0991,0.8,0.786666667,114.0565086,12,13,7,1,2,1,Ramicaule,Erect
2017,70,189,3.5,Stelis vulcanica,RY,T13,E2,189,Stelis vulcanica,18.296,0.2212,2.38,1.563333333,82.7124774,17,15,8,0,2,1,Ramicaule,Erect
2017,72,192,6,Stelis spathulata,RY,T14,E3,192,Stelis spathulata,2.11,0.0144,0.12,0.646666667,146.5277778,11,8,11,1,2,1,Ramicaule,Erect
2017,72,193,6,Stelis spathulata,RY,T14,E3,193,Stelis spathulata,3.547,0.0261,0.18,0.596666667,135.9003831,17,11.5,17,1,2,1,Ramicaule,Erect
2017,72,194,6,Stelis argentata,RY,T14,E3,194,Stelis argentata,11.762,0.0988,0.86,0.856666667,119.048583,19,13.5,19,1,2,1,Ramicaule,Erect
2017,72,195,6,Stelis argentata,RY,T14,E3,195,Stelis argentata,19.31,0.1745,1.61,0.936666667,110.6590258,11,15.5,11,1,2,1,Ramicaule,Erect
2017,72,196,6,Stelis spathulata,RY,T14,E3,196,Stelis spathulata,2.863,0.0261,0.15,0.583333333,109.6934866,19,13.5,19,1,2,1,Ramicaule,Erect
2017,72,197,6,Stelis spathulata,RY,T14,E3,197,Stelis spathulata,4.276,0.0329,0.33,0.74,129.9696049,17,14,17,1,2,1,Ramicaule,Erect
2017,72,199,6,Stelis argentata,RY,T14,E3,199,Stelis argentata,6.268,0.1002,0.95,1.813333333,62.55489022,7,13.5,5,0,2,1,Ramicaule,Erect
2017,72,200,8,Stelis spathulata,RY,T14,E4,200,Stelis spathulata,3.254,0.0271,0.25,0.923333333,120.0738007,9,8.5,9,1,2,1,Ramicaule,Erect
2017,72,201,8,Stelis spathulata,RY,T14,E4,201,Stelis spathulata,2.923,0.0298,0.17,0.54,98.08724832,25,13,10,1,2,1,Ramicaule,Erect
2017,72,202b,8,Stelis spathulata,RY,T14,E4,202b,Stelis spathulata,3.984,0.0372,0.25,0.65,107.0967742,9,9.5,9,1,2,1,Ramicaule,Erect
2017,72,204,8,Pleurothallis hystrix,RY,T14,E4,204,Pleurothallis hystrix,4.824,0.0634,0.51,1.206666667,76.08832808,19,12,8,1,2,1,Ramicaule,Erect
2017,72,205,8,Stelis argentata,RY,T14,E4,205,Stelis argentata,50.41,0.7336,9.16,2.633333333,68.71592148,17,31,3,1,2,1,Ramicaule,Erect
2017,72,206,6,Stelis vulcanica,RY,T14,E3,206,Stelis vulcanica,9.641,0.0806,0.75,0.85,119.6153846,18,15,18,1,2,1,Ramicaule,Erect
2017,72,207,10,Pleurothallis hystrix,RY,T14,E5,207,Pleurothallis hystrix,3.645,0.0365,0.25,0.696666667,99.8630137,,,,,1,3,Stemmed,Reptant
2017,72,208,10,Pleurothallis hystrix,RY,T14,E5,208,Pleurothallis hystrix,1.902,0.0252,0.15,0.836666667,75.47619048,,,,,1,3,Stemmed,Reptant
2017,72,209,10,Pleurothallis hystrix,RY,T14,E5,209,Pleurothallis hystrix,2.743,0.0238,0.22,1.016666667,115.2521008,,,,,1,3,Stemmed,Reptant
2017,72,210,10,Stelis argentata,RY,T14,E5,210,Stelis argentata,13.308,0.1204,1.24,1.21,110.5315615,28,17,28,1,2,1,Ramicaule,Erect
2017,72,212,3.5,Epidendrum RY,RY,T14,E2,212,Epidendrum RY,34.601,0.1729,1.28,0.446666667,200.1214575,10,27.5,8,0,,,,
2017,72,213,1,Cryptocentrum latifolium,RY,T14,E1,213,Cryptocentrum latifolium,9.819,0.066,0.7,0.876666667,148.7727273,1,150,,0,5,1,Monopodial,Erect
2017,72,214,1,Cryptocentrum latifolium,RY,T14,E1,214,Cryptocentrum latifolium,6.114,0.0288,0.36,0.63,212.2916667,1,,,,5,1,Monopodial,Erect
2017,72,215,1,Pleurothallis hystrix,RY,T14,E1,215,Pleurothallis hystrix,5.25,0.0303,0.29,0.68,173.2673267,,,,,1,3,Stemmed,Reptant
2017,75,510,3,Stelis argentata,RY,T15,E2,400,Stelis argentata,14.81,0.0926,1.05,0.77,159.9352052,9,16,9,2,2,1,Ramicaule,Erect
2017,75,511,3,Stelis argentata,RY,T15,E2,401,Stelis argentata,14.634,0.1006,1.14,0.82,145.4671968,6,17,6,0,2,1,Ramicaule,Erect
2017,75,512,3,Stelis argentata,RY,T15,E2,402,Stelis argentata,14.802,0.1083,1.18,0.833333333,136.6759003,6,17.5,6,0,2,1,Ramicaule,Erect
2017,75,513,3,Stelis argentata,RY,T15,E2,403,Stelis argentata,8.516,0.0513,0.53,0.65,166.0038986,3,12.5,3,0,2,1,Ramicaule,Erect
2017,75,514,3,Stelis argentata,RY,T15,E2,404,Stelis argentata,7.828,0.04,0.52,0.693333333,195.7,6,15.5,6,0,2,1,Ramicaule,Erect
2017,75,515,3,Stelis spathulata,RY,T15,E2,405,Stelis spathulata,1.32,0.006,0.06,0.516666667,220,5,6.5,5,0,2,1,Ramicaule,Erect
2017,75,516,3,Lankesteriana sp.,RY,T15,E2,406,Lankesteriana cuspidata,2.139,0.0063,0.026666667,0.47,339.5238095,18,2.7,18,1,2,1,Ramicaule,Erect
2017,75,517,6,Stelis argentata,RY,T15,E3,407,Stelis argentata,10.356,0.0806,0.64,0.606666667,128.4863524,9,12.7,9,1,2,1,Ramicaule,Erect
2017,75,518,6,Stelis argentata,RY,T15,E3,408,Stelis argentata,8.572,0.05,0.54,0.613333333,171.44,5,10.3,5,0,2,1,Ramicaule,Erect
2017,75,519,6,Stelis argentata,RY,T15,E3,409,Stelis argentata,13.7,0.0986,0.95,0.716666667,138.9452333,26,18.3,26,1,2,1,Ramicaule,Erect
2017,75,520,6,Stelis sp.,RY,T15,E3,410,Stelis popayanensis,6.219,0.0523,0.48,0.846666667,118.9101338,9,16,9,0,2,1,Ramicaule,Erect
2017,75,521,6,Stelis sp.,RY,T15,E3,411,Stelis popayanensis,7.173,0.079,0.6,0.983333333,90.79746835,5,14.3,5,0,2,1,Ramicaule,Erect
2017,75,522,6,Stelis sp.,RY,T15,E3,412,Stelis popayanensis,2.516,0.0213,0.24,1.243333333,118.1220657,11,7.5,11,0,2,1,Ramicaule,Erect
2017,75,523,6,Lankesteriana sp.,RY,T15,E3,413,Lankesteriana cuspidata,1.428,0.0053,0.02,0.303333333,269.4339623,4,2.3,4,0,2,1,Ramicaule,Erect
2017,75,524,6,Lankesteriana sp.,RY,T15,E3,414,Lankesteriana cuspidata,0.997,0.0051,0.001666667,0.256666667,195.4901961,6,2.6,6,0,2,1,Ramicaule,Erect
2017,75,525,8,Cryptocentrum latifolium,RY,T15,E4,415,Cryptocentrum latifolium,11.697,0.103,0.77,0.663333333,113.5631068,1,18.5,5,0,5,1,Monopodial,Erect
2017,75,526,8,Cryptocentrum latifolium,RY,T15,E4,416,Cryptocentrum latifolium,12.953,0.1009,0.85,0.646666667,128.3746283,1,18.2,4,0,5,1,Monopodial,Erect
2017,75,528,8,Stelis sp.,RY,T15,E4,418,Stelis popayanensis,5.674,0.077,0.58,,73.68831169,1,8,4,0,5,1,Monopodial,Erect
2017,75,419,8,Stelis argentata,RY,T15,E4,419,Stelis argentata,7.135,0.0685,0.57,0.803333333,104.1605839,7,14.8,7,0,2,1,Ramicaule,Erect
2017,75,420,8,Stelis argentata,RY,T15,E4,420,Stelis argentata,5.375,0.0651,0.48,0.883333333,82.56528418,12,7.5,12,0,2,1,Ramicaule,Erect
2017,75,421,8,Stelis argentata,RY,T15,E4,421,Stelis argentata,5.782,0.0568,0.45,0.88,101.7957746,4,7,4,0,2,1,Ramicaule,Erect
2017,75,422,8,Stelis argentata,RY,T15,E4,422,Stelis argentata,10.402,0.0914,0.8,0.8,113.8074398,5,11.5,5,0,2,1,Ramicaule,Erect
2017,75,424,8,Stelis spathulata,RY,T15,E4,424,Stelis spathulata,2.622,0.028,0.14,0.496666667,93.64285714,9,8.7,9,0,2,1,Ramicaule,Erect
2017,75,425,8,Stelis spathulata,RY,T15,E4,425,Stelis spathulata,2.85,0.0327,0.17,0.55,87.1559633,5,8.4,5,0,2,1,Ramicaule,Erect
2017,75,426,8,Stelis spathulata,RY,T15,E4,426,Stelis spathulata,2.292,0.0216,0.15,0.746666667,106.1111111,7,8.5,7,0,2,1,Ramicaule,Erect
2017,75,427,10,Stelis spathulata,RY,T15,E5,427,Stelis spathulata,3.027,0.0271,0.17,0.533333333,111.697417,6,8.7,6,0,2,1,Ramicaule,Erect
